MaterialID,MaterialCode,MaterialName,SapCode_Raw,SapCode_Finished
1,OQ8154,White,4906991,5504940
2,OG2001,Black,4906933,5504267
3,OG4001,Green,4906934,5504310
4,OG5004,Blue GS,4906935,5504333
5,OG5005,Blue RS,4906936,5504335
6,OG7002,Red Oxide,4906937,5504401
7,OG7003,Violet,4906938,5504403
8,OG7005,Magenta,4906939,5504404
9,OG7007,Red Blue,4906940,5504405
10,OG7055,Red,4906941,5504409
11,OG7286,Red Yellow,4906942,5504414
12,OG7400,Red Violet,4906943,5504426
13,OG9004,Yellow Oxide,4906944,5504505
14,OG9088,Orange,4906945,5504506
15,OG9099,Yellow RS,4906946,5504512
16,OG9280,Yellow GS,4906947,5504513
17,OG9281,Yellow Orange,4906948,5504514



